OMNeT++ Discrete Event Simulation  (C) 1992-2019 Andras Varga, OpenSim Ltd.
Version: 5.6.2, build: 200518-aa79d0918f, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Setting up Qtenv...

Loading NED files from ..:  6
Loading NED files from ../../src:  11
Loading NED files from ../../../inet/src:  831
Loading NED files from ../../../inet/examples:  174
Loading NED files from ../../../inet/tutorials:  10
Loading NED files from ../../../inet/showcases:  46
Loading NED files from ../../../../veins/examples/veins:  1
Loading NED files from ../../../../veins/src/veins:  44

Loading images from '/home/mathesh/omnetpp-workspace/inet/images': *: 0  3d/*: 0  background/*: 1  misc/*: 218  showcases/*: 9 
Loading images from '/home/mathesh/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/mathesh/omnetpp-5.6.2/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

3.250351486592 Vehicle 0 SENDING HELLO #31 | acked {0} | pending ACK {1,2,3}
3.251984656175 Vehicle 1 SENDING HELLO #31 | acked {1} | pending ACK {0,2,3}
3.264941425265 Vehicle 3 SENDING HELLO #31 | acked {3} | pending ACK {0,1,2}
3.265726086073 Vehicle 2 SENDING HELLO #31 | acked {2} | pending ACK {0,1,3}
3.355131904791 Vehicle 0 SENDING HELLO #32 | acked {0} | pending ACK {1,2,3}
3.355204607158 Vehicle 1 SENDING HELLO #32 | acked {1} | pending ACK {0,2,3}
3.367060700485 Vehicle 3 SENDING HELLO #32 | acked {3} | pending ACK {0,1,2}
3.368758052157 Vehicle 2 SENDING HELLO #32 | acked {2} | pending ACK {0,1,3}
3.455227870794 Vehicle 0 SENDING HELLO #33 | acked {0} | pending ACK {1,2,3}
3.456712481239 Vehicle 1 SENDING HELLO #33 | acked {1} | pending ACK {0,2,3}
3.470208440207 Vehicle 2 SENDING HELLO #33 | acked {2} | pending ACK {0,1,3}
3.470361568177 Vehicle 3 SENDING HELLO #33 | acked {3} | pending ACK {0,1,2}
3.558317947929 Vehicle 0 SENDING HELLO #34 | acked {0} | pending ACK {1,2,3}
3.558856324732 Vehicle 1 SENDING HELLO #34 | acked {1} | pending ACK {0,2,3}
3.57088581055 Vehicle 2 SENDING HELLO #34 | acked {2} | pending ACK {0,1,3}
3.571852979816 Vehicle 3 SENDING HELLO #34 | acked {3} | pending ACK {0,1,2}
3.661167772487 Vehicle 0 SENDING HELLO #35 | acked {0} | pending ACK {1,2,3}
3.661810688547 Vehicle 1 SENDING HELLO #35 | acked {1} | pending ACK {0,2,3}
3.673757436829 Vehicle 2 SENDING HELLO #35 | acked {2} | pending ACK {0,1,3}
3.675118983893 Vehicle 3 SENDING HELLO #35 | acked {3} | pending ACK {0,1,2}
3.763967780719 Vehicle 1 SENDING HELLO #36 | acked {1} | pending ACK {0,2,3}
3.764428288859 Vehicle 0 SENDING HELLO #36 | acked {0} | pending ACK {1,2,3}
3.776956793251 Vehicle 3 SENDING HELLO #36 | acked {3} | pending ACK {0,1,2}
3.77824016982 Vehicle 2 SENDING HELLO #36 | acked {2} | pending ACK {0,1,3}
3.866147105316 Vehicle 1 SENDING HELLO #37 | acked {1} | pending ACK {0,2,3}
3.86888790565 Vehicle 0 SENDING HELLO #37 | acked {0} | pending ACK {1,2,3}
3.88098776321 Vehicle 3 SENDING HELLO #37 | acked {3} | pending ACK {0,1,2}
3.881759612748 Vehicle 2 SENDING HELLO #37 | acked {2} | pending ACK {0,1,3}
3.966648239749 Vehicle 1 SENDING HELLO #38 | acked {1} | pending ACK {0,2,3}
3.973485318715 Vehicle 0 SENDING HELLO #38 | acked {0} | pending ACK {1,2,3}
3.984558969702 Vehicle 3 SENDING HELLO #38 | acked {3} | pending ACK {0,1,2}
3.986753847762 Vehicle 2 SENDING HELLO #38 | acked {2} | pending ACK {0,1,3}
4.067395481272 Vehicle 1 SENDING HELLO #39 | acked {1} | pending ACK {0,2,3}
4.077825949018 Vehicle 0 SENDING HELLO #39 | acked {0} | pending ACK {1,2,3}
4.085371434359 Vehicle 3 SENDING HELLO #39 | acked {3} | pending ACK {0,1,2}
4.089831645599 Vehicle 2 SENDING HELLO #39 | acked {2} | pending ACK {0,1,3}
4.168014581184 Vehicle 1 SENDING HELLO #40 | acked {1} | pending ACK {0,2,3}
4.182065990155 Vehicle 0 SENDING HELLO #40 | acked {0} | pending ACK {1,2,3}
4.189408029161 Vehicle 3 SENDING HELLO #40 | acked {3} | pending ACK {0,1,2}
4.192677149321 Vehicle 2 SENDING HELLO #40 | acked {2} | pending ACK {0,1,3}
4.270050497672 Vehicle 1 SENDING HELLO #41 | acked {1} | pending ACK {0,2,3}
4.282411825106 Vehicle 0 SENDING HELLO #41 | acked {0} | pending ACK {1,2,3}
4.292895173023 Vehicle 3 SENDING HELLO #41 | acked {3} | pending ACK {0,1,2}
4.294944862722 Vehicle 2 SENDING HELLO #41 | acked {2} | pending ACK {0,1,3}
4.373660775698 Vehicle 1 SENDING HELLO #42 | acked {1} | pending ACK {0,2,3}
4.386743736736 Vehicle 0 SENDING HELLO #42 | acked {0} | pending ACK {1,2,3}
4.397772780583 Vehicle 3 SENDING HELLO #42 | acked {3} | pending ACK {0,1,2}
4.399223879437 Vehicle 2 SENDING HELLO #42 | acked {2} | pending ACK {0,1,3}
4.473719346106 Vehicle 1 SENDING HELLO #43 | acked {1} | pending ACK {0,2,3}
4.488543627031 Vehicle 0 SENDING HELLO #43 | acked {0} | pending ACK {1,2,3}
4.500082027825 Vehicle 2 SENDING HELLO #43 | acked {2} | pending ACK {0,1,3}
4.501422733392 Vehicle 3 SENDING HELLO #43 | acked {3} | pending ACK {0,1,2}
4.576324529121 Vehicle 1 SENDING HELLO #44 | acked {1} | pending ACK {0,2,3}
4.588815316961 Vehicle 0 SENDING HELLO #44 | acked {0} | pending ACK {1,2,3}
4.601082010452 Vehicle 2 SENDING HELLO #44 | acked {2} | pending ACK {0,1,3}
4.601179108209 Vehicle 3 RECEIVED HELLO from 2
4.601179108209 Vehicle 3 SENDING ACK to 2
4.601179108253 Vehicle 0 RECEIVED HELLO from 2
4.601179108253 Vehicle 0 SENDING ACK to 2
4.601334205966 Vehicle 2 RECEIVED ACK from 3 | acked {2,3} | pending ACK {0,1}
4.601515342363 Vehicle 3 SENDING HELLO #44 | acked {3} | pending ACK {0,1,2}
4.601516206054 Vehicle 2 RECEIVED ACK from 0 | acked {0,2,3} | pending ACK {1}
